source,target,category,note
pact,договор,gameplay,"Так в офиц. локализации BG3: «договор» 231 строка, «пакт» 3. Pacted myself — «заключил договор»"
contract,контракт,gameplay,"Документ договора Уилла с Мизорой; так в офиц. локализации («лазейка в контракте»)"
patron,покровитель,gameplay,"Покровитель колдуна; о Мизоре — «покровительница». Офиц. локализация: 200 строк"
devil,дьявол,creature,"О Мизоре — «дьяволица», как в офиц. локализации (279 строк); в общем смысле — «дьявол»"
parasite,паразит,creature,"Офиц. локализация: 590 строк. Tadpole в игре — «личинка»"
pod,капсула,item,Иллитидская капсула; офиц. локализация: 120 строк
leash,поводок,gameplay,"«на коротком поводке у Мизоры» — как в офиц. локализации"
pet,собачка,gameplay,"Уилл как «питомец» Мизоры — «собачка», как в офиц. локализации"
Mizora,Мизора,character,Термин офиц. локализации BG3
Zariel,Зариэль,character,"Термин офиц. локализации BG3; через «э», не склоняется: «вассал Зариэль», «к Зариэль»"
Zariel's asset,вассал Зариэль,faction,Так в офиц. локализации BG3 (реплика Уилла у Мизоры в Колонии)
Wyll,Уилл,character,Термин офиц. локализации BG3
Blade of Frontiers,Клинок Фронтира,character,"Прозвище Уилла; офиц. локализация: 276 строк. Коротко — «Клинок»"
Blade,Клинок,character,"Прозвище Уилла, как в офиц. локализации («Клинок не хандрит»)"
Blood War,Война крови,location,"Офиц. локализация: 91 строка, «крови» со строчной"
Sword Coast,Побережье Мечей,location,Термин офиц. локализации BG3
Baldur's Gate,Врата Балдура,location,"Офиц. локализация: 1732 строки. Когда в оригинале she/her о городе — по-русски «город», мужской род"
Waterdeep,Глубоководье,location,Термин офиц. локализации BG3
silver sword,серебряный меч,item,"Меч гитьянки; офиц. локализация: 43 строки против 12 у «серебряный клинок»"
Grand Duke,великий герцог,faction,Термин офиц. локализации BG3
Ravengard,Рейвенгард,character,Термин офиц. локализации BG3
warlock,колдун,class,Термин офиц. локализации BG3
